ID Cliente;ID Cidade;Primeiro Nome;Sobrenome;Estado Civil;Gênero;Email;Educação;Ocupação;Tipo Cliente;Nome Empresa;Data Nascimento
9951;588;Albert;Suarez;S;M;albert19@adventure-works.com;Partial High School;Manual;Person;;13/11/1974
9952;506;Darrell;Jai;S;M;darrell19@adventure-works.com;Partial High School;Manual;Person;;22/09/1974
9953;673;Micah;Ye;S;M;micah20@adventure-works.com;Partial High School;Manual;Person;;05/05/1974
9954;504;Neil;Rubio;S;M;neil20@adventure-works.com;Partial High School;Manual;Person;;05/06/1974
9955;657;Nathan;Foster;S;M;nathan12@adventure-works.com;Partial High School;Manual;Person;;11/10/1974
9956;543;Dawn;Pal;S;F;dawn36@adventure-works.com;Partial College;Clerical;Person;;12/03/1975
9957;503;Kristy;Alonso;S;F;kristy8@adventure-works.com;Partial College;Clerical;Person;;28/08/1975
9958;681;Darren;Kapoor;S;M;darren3@adventure-works.com;Partial College;Clerical;Person;;16/01/1975
9959;556;Gerald;Alonso;S;M;gerald16@adventure-works.com;Partial College;Clerical;Person;;26/09/1975
9960;545;Ruben;Arun;M;M;ruben7@adventure-works.com;Graduate Degree;Clerical;Person;;15/10/1962
9961;529;Darrell;Beck;S;M;darrell8@adventure-works.com;Graduate Degree;Clerical;Person;;05/03/1962
9962;539;Keith;Goldberg;M;M;keith23@adventure-works.com;Bachelors;Manual;Person;;09/03/1961
9963;529;Sharon;Xie;M;F;sharon9@adventure-works.com;Graduate Degree;Clerical;Person;;20/05/1961
9964;497;Teresa;Dominguez;M;F;teresa13@adventure-works.com;Graduate Degree;Clerical;Person;;13/09/1961
9965;543;Emily;Butler;S;F;emily39@adventure-works.com;Graduate Degree;Clerical;Person;;17/12/1935
9966;565;Cynthia;Subram;M;F;cynthia18@adventure-works.com;Graduate Degree;Clerical;Person;;08/05/1935
9967;616;Virginia;Madan;M;F;virginia9@adventure-works.com;Graduate Degree;Clerical;Person;;12/04/1962
9968;590;Casey;Rowe;M;M;casey25@adventure-works.com;Partial College;Manual;Person;;24/04/1957
9969;576;Arturo;Yuan;M;M;arturo31@adventure-works.com;Partial College;Manual;Person;;06/07/1957
9970;476;Ashley;Foster;M;F;ashley43@adventure-works.com;Partial College;Manual;Person;;23/12/1956
9971;542;Isaiah;Richardson;S;M;isaiah8@adventure-works.com;Partial College;Manual;Person;;14/05/1954
9972;503;Preston;Suri;S;M;preston0@adventure-works.com;Bachelors;Clerical;Person;;10/03/1937
9973;588;Francisco;Vance;M;M;francisco5@adventure-works.com;Bachelors;Clerical;Person;;14/06/1937
9974;506;April;Andersen;M;F;april11@adventure-works.com;Graduate Degree;Clerical;Person;;24/04/1938
9975;529;George;Subram;M;M;george19@adventure-works.com;Bachelors;Clerical;Person;;21/10/1939
9976;447;Jerry;Andersen;M;M;jerry14@adventure-works.com;Bachelors;Clerical;Person;;09/03/1940
9977;528;Jaclyn;Kumar;M;F;jaclyn31@adventure-works.com;Partial College;Manual;Person;;04/09/1941
9978;540;Mario;Andersen;M;M;mario11@adventure-works.com;Bachelors;Clerical;Person;;26/09/1941
9979;480;Bruce;Srini;M;M;bruce7@adventure-works.com;Partial College;Manual;Person;;25/12/1941
9980;513;Diane;Jimenez;M;F;diane10@adventure-works.com;Partial College;Manual;Person;;26/10/1941
9981;696;Matthew;Miller;S;M;matthew12@adventure-works.com;Bachelors;Clerical;Person;;10/08/1941
9982;586;Craig;Romero;M;M;craig10@adventure-works.com;Partial College;Manual;Person;;26/06/1942
9983;576;Arthur;Jiménez;S;M;arthur29@adventure-works.com;Graduate Degree;Clerical;Person;;09/02/1942
9984;478;Meredith;Vance;S;F;meredith2@adventure-works.com;Partial College;Manual;Person;;23/12/1980
9985;510;Sabrina;Rubio;M;F;sabrina15@adventure-works.com;Partial College;Manual;Person;;12/05/1980
9986;558;Autumn;Liu;M;F;autumn4@adventure-works.com;Bachelors;Clerical;Person;;17/01/1980
9987;596;Brandi;Blanco;M;F;brandi15@adventure-works.com;High School;Manual;Person;;27/04/1977
9988;509;Marshall;Zeng;S;M;marshall20@adventure-works.com;High School;Manual;Person;;13/12/1977
9989;510;Anna;Martin;M;F;anna52@adventure-works.com;High School;Manual;Person;;24/03/1977
9990;558;Cassandra;Sara;M;F;cassandra11@adventure-works.com;High School;Manual;Person;;26/02/1976
9991;534;Mayra;Raman;M;F;mayra12@adventure-works.com;High School;Manual;Person;;10/10/1976
9992;568;Frederick;Sai;M;M;frederick5@adventure-works.com;High School;Manual;Person;;06/12/1976
9993;487;Julio;Serrano;M;M;julio17@adventure-works.com;Bachelors;Clerical;Person;;16/07/1979
9994;531;Mitchell;Xie;S;M;mitchell3@adventure-works.com;Bachelors;Clerical;Person;;14/04/1979
9995;599;Autumn;Ma;M;F;autumn15@adventure-works.com;Bachelors;Clerical;Person;;23/10/1979
9996;599;Danny;Suarez;S;M;danny20@adventure-works.com;Bachelors;Clerical;Person;;17/02/1979
9997;492;Keith;Shan;S;M;keith13@adventure-works.com;Bachelors;Clerical;Person;;23/03/1979
9998;646;Joanna;Ashe;M;F;joanna3@adventure-works.com;Bachelors;Clerical;Person;;10/07/1979
9999;599;Eugene;She;M;M;eugene26@adventure-works.com;Bachelors;Clerical;Person;;03/01/1978
10000;478;Carolyn;Garcia;M;F;carolyn14@adventure-works.com;Bachelors;Clerical;Person;;27/04/1978
10001;473;Geoffrey;Perez;M;M;geoffrey19@adventure-works.com;Bachelors;Clerical;Person;;26/03/1978
10002;637;Clinton;Gutierrez;S;M;clinton8@adventure-works.com;Bachelors;Clerical;Person;;06/04/1978
10003;519;Carolyn;Rodriguez;S;F;carolyn19@adventure-works.com;Partial College;Manual;Person;;27/10/1977
10004;528;Jimmy;Hernandez;M;M;jimmy6@adventure-works.com;Partial College;Manual;Person;;13/11/1961
10005;700;Kaitlyn;Campbell;M;F;kaitlyn5@adventure-works.com;Graduate Degree;Clerical;Person;;06/11/1961
10006;557;Barbara;Zhu;M;F;barbara23@adventure-works.com;High School;Manual;Person;;27/02/1960
10007;483;Sydney;Young;S;F;sydney89@adventure-works.com;Partial College;Manual;Person;;21/07/1960
10008;674;Nuan;Ma;M;M;nuan2@adventure-works.com;Partial College;Manual;Person;;21/04/1960
10009;555;Melody;Carlson;S;F;melody18@adventure-works.com;Partial College;Manual;Person;;21/07/1960
10010;555;Clinton;Sandberg;S;M;clinton16@adventure-works.com;Partial College;Manual;Person;;07/10/1960
10011;555;Ruben;Navarro;M;M;ruben33@adventure-works.com;Partial College;Manual;Person;;10/12/1960
10012;506;Aimee;Wang;S;F;aimee1@adventure-works.com;Partial College;Manual;Person;;25/11/1960
10013;447;Marie;Vance;M;F;marie8@adventure-works.com;Partial College;Manual;Person;;22/07/1959
10014;624;Connor;Nelson;M;M;connor38@adventure-works.com;Partial College;Manual;Person;;02/05/1958
10015;503;Diana;Carlson;M;F;diana17@adventure-works.com;Partial College;Manual;Person;;23/04/1958
10016;513;Diane;Hernandez;M;F;diane8@adventure-works.com;Graduate Degree;Clerical;Person;;04/03/1958
10017;586;Michele;Kapoor;M;F;michele56@adventure-works.com;Graduate Degree;Clerical;Person;;08/08/1960
10018;529;Leslie;Romero;M;F;leslie10@adventure-works.com;Graduate Degree;Clerical;Person;;08/04/1960
10019;588;Sheila;Serrano;M;F;sheila15@adventure-works.com;Graduate Degree;Clerical;Person;;23/07/1960
10020;681;Monica;Prasad;S;F;monica10@adventure-works.com;Graduate Degree;Clerical;Person;;14/05/1960
10021;673;Omar;Ye;M;M;omar9@adventure-works.com;Bachelors;Clerical;Person;;22/02/1959
10022;529;Gary;Serrano;M;M;gary27@adventure-works.com;Bachelors;Clerical;Person;;11/07/1959
10023;557;Bianca;Huang;M;F;bianca5@adventure-works.com;Bachelors;Clerical;Person;;14/06/1958
10024;705;Cara;Wang;M;F;cara1@adventure-works.com;High School;Manual;Person;;20/01/1970
10025;529;Lori;Jimenez;S;F;lori8@adventure-works.com;High School;Manual;Person;;04/01/1970
10026;567;Cedric;Wu;S;M;cedric7@adventure-works.com;High School;Manual;Person;;18/07/1970
10027;506;Clifford;Fernandez;S;M;clifford14@adventure-works.com;Partial College;Manual;Person;;21/03/1970
10028;608;Luke;Nelson;S;M;luke41@adventure-works.com;Partial College;Manual;Person;;24/03/1970
10029;449;Joe;Suri;S;M;joe4@adventure-works.com;Partial College;Manual;Person;;23/10/1970
10030;542;Kristi;Martin;S;F;kristi40@adventure-works.com;High School;Manual;Person;;15/08/1969
10031;529;Lindsay;Xu;S;F;lindsay5@adventure-works.com;Bachelors;Clerical;Person;;23/10/1970
10032;539;Cassie;She;S;F;cassie0@adventure-works.com;Bachelors;Clerical;Person;;06/03/1970
10033;662;Brendan;Shan;S;M;brendan8@adventure-works.com;Partial College;Manual;Person;;16/10/1969
10034;544;Preston;Subram;S;M;preston12@adventure-works.com;Bachelors;Clerical;Person;;10/11/1969
10035;497;Jacqueline;Kelly;S;F;jacqueline26@adventure-works.com;Bachelors;Clerical;Person;;23/09/1969
10036;480;Roy;Sanchez;M;M;roy20@adventure-works.com;Bachelors;Clerical;Person;;16/07/1969
10037;532;Ruben;Hernandez;M;M;ruben27@adventure-works.com;Bachelors;Clerical;Person;;22/06/1969
10038;674;Bruce;Arun;M;M;bruce5@adventure-works.com;Graduate Degree;Clerical;Person;;18/10/1969
10039;529;Pedro;Lopez;M;M;pedro16@adventure-works.com;Graduate Degree;Clerical;Person;;26/08/1969
10040;449;Jill;Ramos;S;F;jill25@adventure-works.com;Graduate Degree;Skilled Manual;Person;;05/03/1969
10041;565;Chad;Luo;S;M;chad7@adventure-works.com;Graduate Degree;Skilled Manual;Person;;22/03/1969
10042;529;Eddie;Serrano;M;M;eddie16@adventure-works.com;Partial College;Manual;Person;;04/11/1952
10043;687;Jon;Liang;M;M;jon37@adventure-works.com;Partial College;Manual;Person;;10/08/1952
10044;586;Johnathan;McDonald;M;M;johnathan16@adventure-works.com;High School;Manual;Person;;10/06/1951
10045;651;Franklin;Zheng;M;M;franklin17@adventure-works.com;Partial College;Manual;Person;;10/07/1951
10046;540;Evelyn;Prasad;S;F;evelyn10@adventure-works.com;High School;Manual;Person;;04/11/1953
10047;506;Terrance;Suri;M;M;terrance0@adventure-works.com;High School;Manual;Person;;13/09/1953
10048;533;Sheena;Andersen;S;F;sheena11@adventure-works.com;Partial College;Manual;Person;;27/01/1968
10049;672;Karen;Liang;M;F;karen26@adventure-works.com;Partial College;Manual;Person;;17/06/1968
10050;532;James;Sharma;S;M;james46@adventure-works.com;Partial College;Manual;Person;;08/06/1968
10051;529;Alan;Cai;M;M;alan25@adventure-works.com;Bachelors;Clerical;Person;;04/02/1968
10052;640;Sabrina;Alonso;M;F;sabrina5@adventure-works.com;Bachelors;Clerical;Person;;28/05/1968
10053;640;Sheena;Xu;S;F;sheena4@adventure-works.com;Bachelors;Clerical;Person;;11/03/1968
10054;525;Jamie;Vazquez;M;M;jamie36@adventure-works.com;Bachelors;Clerical;Person;;11/08/1968
10055;702;Keith;Jai;M;M;keith14@adventure-works.com;Graduate Degree;Clerical;Person;;20/11/1968
10056;639;Kristi;Carlson;M;F;kristi14@adventure-works.com;Graduate Degree;Clerical;Person;;06/07/1968
10057;486;Walter;Munoz;M;M;walter20@adventure-works.com;Graduate Degree;Clerical;Person;;07/11/1968
10058;437;Elizabeth;Butler;M;F;elizabeth43@adventure-works.com;Bachelors;Skilled Manual;Person;;09/03/1925
10059;563;Meredith;Suri;S;F;meredith0@adventure-works.com;High School;Manual;Person;;19/02/1967
10060;702;Misty;Chande;M;F;misty16@adventure-works.com;Partial College;Manual;Person;;04/02/1967
10061;666;Jaclyn;Tang;S;F;jaclyn27@adventure-works.com;Bachelors;Clerical;Person;;21/08/1967
10062;529;Desiree;Suarez;M;F;desiree15@adventure-works.com;Bachelors;Clerical;Person;;18/06/1967
10063;700;Miranda;Barnes;S;F;miranda3@adventure-works.com;Bachelors;Clerical;Person;;10/08/1967
10064;539;Louis;Li;M;M;louis41@adventure-works.com;Partial High School;Manual;Person;;23/04/1966
10065;544;Colleen;Sun;S;F;colleen13@adventure-works.com;High School;Manual;Person;;20/11/1966
10066;542;Robert;Thompson;M;M;robert74@adventure-works.com;Bachelors;Clerical;Person;;07/09/1967
10067;705;Ebony;Arun;M;F;ebony6@adventure-works.com;Bachelors;Skilled Manual;Person;;10/04/1966
10068;498;Frank;Jimenez;S;M;frank36@adventure-works.com;Partial High School;Manual;Person;;05/03/1965
10069;447;Lawrence;Jimenez;S;M;lawrence3@adventure-works.com;Partial High School;Manual;Person;;28/01/1965
10070;525;Colin;Lu;M;M;colin12@adventure-works.com;Partial High School;Manual;Person;;15/12/1965
10071;503;Latoya;Yuan;M;F;latoya6@adventure-works.com;High School;Manual;Person;;03/01/1965
10072;659;Lindsey;Pal;S;F;lindsey13@adventure-works.com;High School;Manual;Person;;11/01/1965
10073;539;Dominic;Sanchez;S;M;dominic21@adventure-works.com;High School;Manual;Person;;22/02/1965
10074;639;Catherine;Kelly;S;F;catherine3@adventure-works.com;High School;Manual;Person;;04/11/1965
10075;525;Diane;Carlson;M;F;diane23@adventure-works.com;Bachelors;Skilled Manual;Person;;10/03/1965
10076;542;Manuel;Rana;M;M;manuel10@adventure-works.com;Bachelors;Skilled Manual;Person;;09/06/1965
10077;480;Terrence;Nath;S;M;terrence19@adventure-works.com;Partial High School;Manual;Person;;01/12/1964
10078;476;Rachel;James;S;F;rachel44@adventure-works.com;Partial High School;Manual;Person;;07/04/1964
10079;657;Grace;Gray;S;F;grace41@adventure-works.com;Partial High School;Manual;Person;;10/02/1964
10080;572;Lee;Carlson;S;M;lee17@adventure-works.com;High School;Manual;Person;;12/05/1964
10081;564;Ebony;Lopez;M;F;ebony17@adventure-works.com;Bachelors;Skilled Manual;Person;;19/07/1964
10082;529;Xavier;Smith;S;M;xavier0@adventure-works.com;Bachelors;Skilled Manual;Person;;10/03/1964
10083;483;Jason;Edwards;S;M;jason31@adventure-works.com;Partial College;Manual;Person;;18/08/1964
10084;659;Trisha;Chen;S;F;trisha20@adventure-works.com;High School;Manual;Person;;20/12/1963
10085;530;Clarence;Deng;M;M;clarence17@adventure-works.com;High School;Manual;Person;;25/05/1933
10086;683;Leslie;Vazquez;M;F;leslie15@adventure-works.com;Partial College;Manual;Person;;16/11/1933
10087;640;Katelyn;Bell;M;F;katelyn13@adventure-works.com;Partial College;Manual;Person;;28/04/1933
10088;640;Rebecca;Scott;S;F;rebecca15@adventure-works.com;Bachelors;Professional;Person;;22/08/1966
10089;529;Alvin;Anand;S;M;alvin43@adventure-works.com;Partial College;Clerical;Person;;28/11/1965
10090;548;Yiroyuki;Sato;S;F;yiroyuki0@adventure-works.com;Partial College;Clerical;Person;;14/06/1965
10091;702;Thomas;Garcia;S;M;thomas78@adventure-works.com;Partial College;Clerical;Person;;26/06/1965
10092;662;Ashley;Jenkins;S;F;ashley33@adventure-works.com;Partial College;Clerical;Person;;19/04/1965
10093;485;Gina;Gutierrez;M;F;gina11@adventure-works.com;Bachelors;Skilled Manual;Person;;06/02/1964
10094;506;Jacquelyn;Castro;M;F;jacquelyn19@adventure-works.com;Bachelors;Skilled Manual;Person;;02/10/1964
10095;459;Alison;Sharma;S;F;alison9@adventure-works.com;Partial College;Clerical;Person;;18/11/1963
10096;529;Lance;Munoz;S;M;lance7@adventure-works.com;Partial College;Clerical;Person;;06/12/1963
10097;480;Jon;Lin;S;M;jon27@adventure-works.com;Partial College;Clerical;Person;;03/09/1963
10098;586;Gary;Ruiz;M;M;gary12@adventure-works.com;High School;Manual;Person;;21/06/1977
10099;592;Steve;Ma;M;M;steve18@adventure-works.com;High School;Manual;Person;;11/02/1979
10100;661;Sandra;Liu;S;F;sandra10@adventure-works.com;High School;Manual;Person;;24/04/1979
10101;515;Sandra;Zhang;S;F;sandra6@adventure-works.com;Partial College;Clerical;Person;;23/06/1979
10102;651;Meagan;Perez;S;F;meagan19@adventure-works.com;Partial College;Clerical;Person;;08/03/1979
10103;555;Willie;Zheng;M;M;willie18@adventure-works.com;Bachelors;Skilled Manual;Person;;02/03/1963
10104;608;Francis;Hernandez;M;M;francis1@adventure-works.com;Bachelors;Skilled Manual;Person;;24/07/1963
10105;698;Robin;Gutierrez;M;F;robin7@adventure-works.com;Bachelors;Skilled Manual;Person;;03/07/1963
10106;576;Cory;Sara;M;M;cory8@adventure-works.com;Bachelors;Skilled Manual;Person;;06/05/1963
10107;506;Katie;Sharma;M;F;katie12@adventure-works.com;Bachelors;Skilled Manual;Person;;09/01/1962
10108;586;Kaitlin;Rodriguez;M;F;kaitlin18@adventure-works.com;Bachelors;Skilled Manual;Person;;26/09/1962
10109;765;Kristine;Martin;M;F;kristine1@adventure-works.com;Bachelors;Skilled Manual;Person;;23/11/1962
10110;555;Katie;Pal;S;F;katie15@adventure-works.com;Partial College;Clerical;Person;;27/02/1978
10111;506;Brent;Zeng;M;M;brent20@adventure-works.com;Partial College;Clerical;Person;;07/08/1978
10112;506;Ricardo;Deng;S;M;ricardo1@adventure-works.com;Partial College;Clerical;Person;;16/12/1978
10113;529;Johnathan;Prasad;M;M;johnathan11@adventure-works.com;Partial College;Clerical;Person;;17/03/1977
10114;529;Laura;Cai;S;F;laura27@adventure-works.com;Partial College;Clerical;Person;;10/07/1977
10115;626;Savannah;Murphy;M;F;savannah14@adventure-works.com;Partial College;Clerical;Person;;04/11/1977
10116;635;Bobby;Raman;S;M;bobby8@adventure-works.com;Partial College;Clerical;Person;;01/07/1977
10117;587;Carson;Russell;M;M;carson19@adventure-works.com;High School;Manual;Person;;13/12/1976
10118;544;Bryant;Sara;S;M;bryant9@adventure-works.com;Partial High School;Manual;Person;;24/05/1975
10119;497;Lisa;Hu;S;F;lisa23@adventure-works.com;High School;Manual;Person;;23/03/1975
10120;459;Edward;Campbell;S;M;edward18@adventure-works.com;High School;Manual;Person;;22/01/1976
10121;641;Roger;Chen;M;M;roger7@adventure-works.com;Partial College;Clerical;Person;;11/07/1976
10122;657;Garrett;Reed;S;M;garrett25@adventure-works.com;Partial High School;Manual;Person;;03/01/1975
10123;702;Julie;Xie;M;F;julie7@adventure-works.com;Partial High School;Manual;Person;;11/04/1974
10124;591;Carl;Luo;S;M;carl5@adventure-works.com;Partial High School;Manual;Person;;12/08/1974
10125;676;Mallory;Alvarez;S;F;mallory12@adventure-works.com;Partial High School;Manual;Person;;21/06/1974
10126;621;Bruce;Rana;S;M;bruce10@adventure-works.com;Partial College;Clerical;Person;;01/12/1975
10127;529;Kaitlin;Gonzalez;S;F;kaitlin17@adventure-works.com;Partial College;Clerical;Person;;07/11/1975
10128;564;Crystal;Zheng;S;F;crystal20@adventure-works.com;Partial College;Clerical;Person;;25/07/1975
10129;626;Kenneth;Andersen;S;M;kenneth11@adventure-works.com;Partial College;Clerical;Person;;20/06/1975
10130;513;Rafael;Wang;S;M;rafael1@adventure-works.com;Partial College;Clerical;Person;;17/03/1975
10131;497;Mackenzie;Ward;M;F;mackenzie10@adventure-works.com;Bachelors;Skilled Manual;Person;;16/12/1975
10132;662;Gilbert;Nath;S;M;gilbert38@adventure-works.com;Partial High School;Manual;Person;;07/04/1973
10133;529;Jeffery;Hu;S;M;jeffery20@adventure-works.com;Partial College;Clerical;Person;;04/06/1974
10134;548;April;Kumar;S;F;april6@adventure-works.com;Partial College;Clerical;Person;;06/08/1974
10135;506;Bob;Chapman;S;M;bob5@adventure-works.com;Partial High School;Manual;Person;;02/03/1980
10136;449;Raul;Raji;M;M;raul19@adventure-works.com;Partial High School;Manual;Person;;26/10/1980
10137;565;Natasha;Carlson;M;F;natasha18@adventure-works.com;Partial High School;Manual;Person;;12/03/1980
10138;565;Steve;Li;S;M;steve7@adventure-works.com;Partial High School;Manual;Person;;15/11/1980
10139;647;Kaylee;Phillips;M;F;kaylee27@adventure-works.com;Partial College;Skilled Manual;Person;;26/02/1962
10140;644;Alex;Adams;M;M;alex43@adventure-works.com;Partial College;Skilled Manual;Person;;24/06/1962
10141;443;Byron;Diaz;M;M;byron2@adventure-works.com;High School;Skilled Manual;Person;;16/10/1961
10142;597;Omar;Li;S;M;omar3@adventure-works.com;High School;Skilled Manual;Person;;10/03/1961
10143;660;Mason;Brooks;M;M;mason3@adventure-works.com;High School;Skilled Manual;Person;;20/04/1961
10144;644;Allison;Campbell;M;F;allison29@adventure-works.com;Partial College;Skilled Manual;Person;;14/05/1961
10145;678;Lucas;Richardson;M;M;lucas81@adventure-works.com;Partial College;Skilled Manual;Person;;08/02/1961
10146;445;Mindy;Lal;M;F;mindy13@adventure-works.com;Bachelors;Professional;Person;;02/06/1960
10147;551;Robert;Taylor;M;M;robert67@adventure-works.com;Partial College;Skilled Manual;Person;;12/07/1960
10148;642;Angel;Rogers;M;M;angel18@adventure-works.com;Partial College;Skilled Manual;Person;;17/07/1960
10149;665;Brianna;Gonzales;S;F;brianna62@adventure-works.com;Partial College;Skilled Manual;Person;;03/03/1967
10150;620;Miguel;Diaz;S;M;miguel68@adventure-works.com;Partial College;Skilled Manual;Person;;27/12/1967
10151;694;Alyssa;Ramirez;S;F;alyssa41@adventure-works.com;Graduate Degree;Professional;Person;;25/09/1967
10152;582;Aaron;Campbell;S;M;aaron39@adventure-works.com;Graduate Degree;Professional;Person;;22/12/1967
10153;633;Amanda;Hill;S;F;amanda65@adventure-works.com;Graduate Degree;Professional;Person;;09/07/1967
10154;546;James;Thompson;M;M;james88@adventure-works.com;Graduate Degree;Professional;Person;;15/02/1967
10155;658;Michael;Clark;M;M;michael51@adventure-works.com;Graduate Degree;Professional;Person;;10/02/1928
10156;505;Jeremiah;Flores;M;M;jeremiah32@adventure-works.com;Partial College;Skilled Manual;Person;;04/03/1960
10157;620;Maria;Lopez;M;F;maria62@adventure-works.com;Partial College;Skilled Manual;Person;;24/02/1960
